candidate_id,rank,score,reasoning
CAND_0018499,1,1.0,"7.2yr Senior Machine Learning Engineer at Zomato; matched: Weaviate, Pinecone, Information Retrieval; based in Noida, Uttar Pradesh; open to work; open to work, notice: 15d; title: Senior Machine Learning Engineer"
CAND_0071974,2,1.0,"7.8yr Senior AI Engineer at Netflix; matched: LoRA, Learning to Rank, Weaviate; based in Vizag, Andhra Pradesh; open to work; open to work; title: Senior AI Engineer"
CAND_0077337,3,1.0,"7.0yr Staff Machine Learning Engineer at Paytm; matched: Semantic Search, QLoRA, Pinecone; based in Kochi, Kerala; open to work; open to work; title: Staff Machine Learning Engineer"
CAND_0081846,4,1.0,"6.7yr Lead AI Engineer at Razorpay; matched: Information Retrieval, Learning to Rank, Elasticsearch; based in Jaipur, Rajasthan; open to work; open to work, notice: 30d; title: Lead AI Engineer"
CAND_0011687,5,0.93694,"7.8yr Senior NLP Engineer at Niramai; matched: OpenSearch, FAISS, PEFT; based in Indore, Madhya Pradesh; open to work; open to work, notice: 15d; title: Senior NLP Engineer"
CAND_0088025,6,0.90778,"8.6yr Staff Machine Learning Engineer at Yellow.ai; matched: Pinecone, QLoRA, LLMs; based in Jaipur, Rajasthan; open to work; open to work; title: Staff Machine Learning Engineer"
CAND_0064326,7,0.89635,"7.6yr Search Engineer at Sarvam AI; matched: PyTorch, Milvus, Semantic Search; based in Gurgaon, Haryana; open to work; open to work; title: Search Engineer"
CAND_0002025,8,0.86808,"5.9yr Senior AI Engineer at Apple; matched: FAISS, OpenSearch, Weaviate; based in Trivandrum, Kerala; open to work; open to work, notice: 30d; title: Senior AI Engineer"
CAND_0099806,9,0.86479,"4.6yr AI Engineer at Mad Street Den; matched: LoRA, RAG, FAISS; based in Bhubaneswar, Odisha; open to work; open to work, notice: 30d; title: AI Engineer"
CAND_0027691,10,0.84595,"6.5yr NLP Engineer at Haptik; matched: LoRA, PEFT, Weaviate; based in Pune, Maharashtra; open to work; open to work, notice: 15d; title: NLP Engineer"
CAND_0046525,11,0.84214,"6.1yr Senior Machine Learning Engineer at Genpact AI; matched: Elasticsearch, LangChain, Information Retrieval; based in Pune, Maharashtra; open to work; open to work; title: Senior Machine Learning Engineer"
CAND_0068351,12,0.83516,"6.4yr Lead AI Engineer at Sarvam AI; matched: Qdrant, Elasticsearch, PEFT; based in Delhi, Delhi; notice: 0d; title: Lead AI Engineer"
CAND_0048558,13,0.83262,"6.7yr Data Scientist at Rephrase.ai; matched: Information Retrieval, OpenSearch, Qdrant; based in Noida, Uttar Pradesh; open to work; open to work, notice: 30d; title: Data Scientist"
CAND_0052682,14,0.83255,"6.6yr NLP Engineer at Aganitha; matched: QLoRA, Semantic Search, FAISS; based in Vizag, Andhra Pradesh; open to work; open to work, notice: 30d; title: NLP Engineer"
CAND_0006418,15,0.83071,"5.7yr Machine Learning Engineer at Verloop.io; matched: Semantic Search, Embeddings, Weaviate; based in Gurgaon, Haryana; open to work; open to work; title: Machine Learning Engineer"
CAND_0083307,16,0.82792,"7.8yr Search Engineer at CRED; matched: Embeddings, QLoRA, PEFT; based in Vizag, Andhra Pradesh; open to work; open to work, long notice: 120d; title: Search Engineer"
CAND_0083852,17,0.81933,"6.0yr Data Scientist at Mad Street Den; matched: Qdrant, QLoRA, Pinecone; based in Ahmedabad, Gujarat; open to work; open to work; title: Data Scientist"
CAND_0030784,18,0.81827,"4.4yr Data Scientist at Yellow.ai; matched: Embeddings, Learning to Rank, RAG; based in Delhi, Delhi; open to work; open to work; title: Data Scientist"
CAND_0042506,19,0.81817,"4.2yr Search Engineer at Verloop.io; matched: PEFT, Semantic Search, Fine-tuning LLMs; based in Mumbai, Maharashtra; open to work; open to work, notice: 15d; title: Search Engineer"
CAND_0076163,20,0.81619,"6.9yr NLP Engineer at Ola; matched: Weaviate, LangChain, Semantic Search; based in Chandigarh, Chandigarh; open to work; open to work; title: NLP Engineer"
CAND_0046064,21,0.81615,"8.9yr Senior NLP Engineer at Salesforce; matched: Python, Pinecone, OpenSearch; based in Coimbatore, Tamil Nadu; open to work; open to work, notice: 30d; title: Senior NLP Engineer"
